代码,名称,板块类型,板块名称,行业代码,行业名称
300221,,行业分类,申万行业,220503,未知行业
300538,,行业分类,申万行业,220503,未知行业
000810,,行业分类,申万行业,330202,医药生物
300539,,行业分类,申万行业,220501,未知行业
300540,,行业分类,申万行业,640209,化工
300545,,行业分类,申万行业,270301,未知行业
300549,,行业分类,申万行业,640209,化工
300506,,行业分类,申万行业,620201,化工
300509,,行业分类,申万行业,640208,化工
300516,,行业分类,申万行业,270401,未知行业
300521,,行业分类,申万行业,640208,化工
300522,,行业分类,申万行业,220305,未知行业
300527,,行业分类,申万行业,650301,化工
300530,,行业分类,申万行业,220309,未知行业
300599,,行业分类,申万行业,610302,化工
300600,,行业分类,申万行业,650401,化工
300606,,行业分类,申万行业,640103,化工
300623,,行业分类,申万行业,270102,未知行业
300581,,行业分类,申万行业,650201,化工
300594,,行业分类,申万行业,640501,化工
300582,,行业分类,申万行业,270302,未知行业
300587,,行业分类,申万行业,220602,未知行业
300589,,行业分类,申万行业,650401,化工
300591,,行业分类,申万行业,350205,医药生物
300503,,行业分类,申万行业,640106,化工
000976,,行业分类,申万行业,640501,化工
002003,,行业分类,申万行业,350105,医药生物
002002,,行业分类,申万行业,220202,未知行业
603867,,行业分类,申万行业,220309,未知行业
000955,,行业分类,申万行业,350106,医药生物
000939,,行业分类,申万行业,410105,机械设备
002054,,行业分类,申万行业,220308,未知行业
600701,,行业分类,申万行业,710201,公用事业
600714,,行业分类,申万行业,220203,未知行业
002018,,行业分类,申万行业,510101,电气设备
600608,,行业分类,申万行业,450201,机械设备
000881,,行业分类,申万行业,220309,未知行业
300471,,行业分类,申万行业,640209,化工
300499,,行业分类,申万行业,640209,化工
300412,,行业分类,申万行业,640209,化工
000911,,行业分类,申万行业,110504,未知行业
603757,,行业分类,申万行业,640106,化工
300163,,行业分类,申万行业,220309,未知行业
002442,,行业分类,申万行业,220603,未知行业
603356,,行业分类,申万行业,640204,化工
603339,,行业分类,申万行业,640105,化工
601882,,行业分类,申万行业,640101,化工
002760,,行业分类,申万行业,640103,化工
603379,,行业分类,申万行业,220311,未知行业
603321,,行业分类,申万行业,640204,化工
603331,,行业分类,申万行业,640106,化工
603332,,行业分类,申万行业,220401,未知行业
603336,,行业分类,申万行业,110103,未知行业
002827,,行业分类,申万行业,220307,未知行业
002802,,行业分类,申万行业,220309,未知行业
002809,,行业分类,申万行业,220309,未知行业
002816,,行业分类,申万行业,640209,化工
